Crop Name,"Nitrogen(LOW,MEDIUM,HIGH)","Phosphorous(LOW,MEDIUM,HIGH)","Potassium(LOW,MEDIUM,HIGH)","OrganicCarbon(LOW,MEDIUM,HIGH)","Ph(NEUTRAL, ALKALINE, ACIDIC)","Electrical Conductivity(NON-SALINE, SALINE)","Sulphur(LOW,MEDIUM,HIGH)","Iron(LOW,MEDIUM,HIGH)","Zinc(LOW,MEDIUM,HIGH)","Copper(LOW,MEDIUM,HIGH)","Boron(LOW,MEDIUM,HIGH)","Manganese(LOW,MEDIUM,HIGH)",Water Requirement(per acre),Duration(Days),Investment Capital(per acre),Nitrogen Depleted,Phosphorous Depleted,Potassium Depleted,OrganicCarbon Depleted,Sulphur Depleted,Iron Depleted,Zinc Depleted,Copper Depleted,Boron Depleted,Manganese Depleted,Yield in rs,Alluvial,Clayey,Loamy,Laterite,Red,Clay,Sandy loam,Black soil,Red loam,Well-drained,Clay loam,Kharif,Rabi,Intercrop,Yield per Acre (kg)
Chilli,Medium,Medium,High,Medium,Neutral,Non-Saline,Medium,Medium,High,Medium,Medium,Medium,"5,000 - 7,500",150 - 180,"₹30,000 - ₹50,000",Yes,Yes,Yes,No,Yes,No,No,No,No,No,70000.0,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,680 - 907 kg
Watermelon,Medium,Medium,High,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,High,Medium,"4,000 - 6,000",80 - 120,"₹50,000 - ₹80,000",Yes,Yes,Yes,No,Yes,No,No,No,No,No,90000.0,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,"9,072 - 13,607 kg"
Turmeric,Medium,Medium,High,High,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Medium,Medium,"8,000 - 12,000",210 - 280,"₹25,000 - ₹40,000",Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,100000.0,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,"1,361 - 2,268 kg"
Rice (Basmati),High,Medium,Medium,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"12,000 - 15,000",110 - 150,"30,000 - 40,000",Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,20000.0,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,"1,814 - 2,268 kg"
Rice (Jasmine),High,Medium,Medium,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"13,000 - 16,000",120 - 160,"35,000 - 45,000",Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,20000.0,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,"1,814 - 2,268 kg"
Rice (Arborio),High,Medium,Medium,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"14,000 - 18,000",130 - 170,"32,000 - 42,000",Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,20000.0,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,"1,814 - 2,268 kg"
Rice (Black),Medium,Medium,Medium,Medium,Neutral,Non-Saline,Medium,High,Medium,Medium,Medium,Medium,"10,000 - 13,000",100 - 140,"28,000 - 38,000",Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,20000.0,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,"1,814 - 2,268 kg"
Rice (Brown),High,Medium,Medium,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"11,500 - 14,500",115 - 155,"31,000 - 41,000",Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,20000.0,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,"1,814 - 2,268 kg"
Rice (Red),Medium,Medium,Medium,Medium,Neutral,Non-Saline,Medium,High,Medium,Medium,Medium,Medium,"10,500 - 13,500",105 - 145,"29,000 - 39,000",Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,20000.0,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,"1,814 - 2,268 kg"
Rice (Glutinous),High,Medium,Medium,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"13,000 - 16,500",120 - 160,"34,000 - 44,000",Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,20000.0,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,"1,814 - 2,268 kg"
Rice (Wehani),Medium,Medium,Medium,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Medium,Medium,"11,000 - 14,000",110 - 150,"30,000 - 40,000",Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,20000.0,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,"1,814 - 2,268 kg"
Rice (Wild),Medium,Medium,Medium,Medium,Neutral,Non-Saline,Medium,High,Medium,Medium,Medium,Medium,"9,500 - 12,500",95 - 135,"27,000 - 37,000",Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,20000.0,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,"1,361 - 1,814 kg"
Rice (Koshihikari),High,Medium,Medium,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"12,500 - 15,500",115 - 155,"33,000 - 43,000",Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,20000.0,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,"1,814 - 2,268 kg"
Rice (Sona Masoori),High,Medium,Medium,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"11,800 - 14,800",112 - 152,"31,000 - 41,000",Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,20000.0,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,"1,814 - 2,268 kg"
Rice (Ponni),High,Medium,Medium,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"12,200 - 15,200",118 - 158,"32,000 - 42,000",Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,20000.0,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,"1,814 - 2,268 kg"
Rice (Indrayani),High,Medium,Medium,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"11,900 - 14,900",113 - 153,"30,000 - 40,000",Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,20000.0,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,"1,814 - 2,268 kg"
Rice (Gobindobhog),High,Medium,Medium,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"12,100 - 15,100",119 - 159,"33,000 - 43,000",Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,20000.0,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,"1,814 - 2,268 kg"
Rice (Jeerakasala),High,Medium,Medium,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"12,300 - 15,300",121 - 161,"34,000 - 44,000",Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,20000.0,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,"1,814 - 2,268 kg"
Wheat (Durum),High,Medium,Medium,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"4,500 - 6,500",120 - 150,20000 - 30000,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,15000.0,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,"1,134 - 1,588 kg"
Wheat (Hard Red Spring),High,Medium,Medium,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"4,700 - 6,800",125 - 155,22000 - 32000,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,15000.0,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,"1,134 - 1,588 kg"
Wheat (Hard Red Winter),High,Medium,Medium,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"4,800 - 7,000",130 - 160,21000 - 31000,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,15000.0,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,"1,134 - 1,588 kg"
Wheat (Soft Red Winter),High,Medium,Medium,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"4,600 - 6,700",122 - 152,23000 - 33000,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,15000.0,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,"1,134 - 1,588 kg"
Wheat (Soft White),High,Medium,Medium,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"4,900 - 7,200",128 - 158,24000 - 34000,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,15000.0,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,"1,134 - 1,588 kg"
Wheat (Hard White),High,Medium,Medium,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"5,000 - 7,300",129 - 159,25000 - 35000,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,15000.0,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,"1,134 - 1,588 kg"
Wheat (Khorasan),High,Medium,Medium,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"4,400 - 6,600",118 - 148,20000 - 30000,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,15000.0,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,"1,134 - 1,588 kg"
Wheat (Einkorn),High,Medium,Medium,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"4,300 - 6,500",115 - 145,19000 - 29000,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,15000.0,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,"907 - 1,134 kg"
Wheat (Emmer),High,Medium,Medium,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"4,600 - 6,800",122 - 152,21000 - 31000,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,15000.0,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,"907 - 1,134 kg"
Wheat (Spelt),High,Medium,Medium,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"4,500 - 6,600",120 - 150,20500 - 30500,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,15000.0,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,"1,134 - 1,361 kg"
Wheat (Club Wheat),High,Medium,Medium,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"4,700 - 6,900",126 - 156,22500 - 32500,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,15000.0,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,"1,134 - 1,361 kg"
Wheat (Red Fife),High,Medium,Medium,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"4,800 - 7,100",130 - 160,23000 - 33000,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,15000.0,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,"1,134 - 1,361 kg"
Wheat (Freekeh),High,Medium,Medium,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"4,900 - 7,200",132 - 162,24000 - 34000,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,15000.0,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,"1,134 - 1,361 kg"
Wheat (Sonora),High,Medium,Medium,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"5,100 - 7,400",135 - 165,25500 - 35500,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,15000.0,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,"1,134 - 1,588 kg"
Wheat (Pima Club),High,Medium,Medium,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"4,600 - 6,800",122 - 152,21500 - 31500,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,15000.0,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,"1,134 - 1,361 kg"
Maize (Dent Corn),High,Medium,High,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"5,000 - 7,000",90 - 120,20000 - 30000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,15000.0,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,"2,722 - 3,629 kg"
Maize (Flint Corn),High,Medium,High,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"5,200 - 7,200",95 - 125,21000 - 31000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,15000.0,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,"2,722 - 3,629 kg"
Maize (Sweet Corn),High,Medium,High,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"5,500 - 7,500",100 - 130,22000 - 32000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,15000.0,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,"3,629 - 4,536 kg"
Maize (Popcorn),High,Medium,High,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"5,300 - 7,300",98 - 128,23000 - 33000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,15000.0,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,"1,814 - 2,722 kg"
Maize (Waxy Corn),High,Medium,High,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"5,400 - 7,400",99 - 129,24000 - 34000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,15000.0,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,"2,722 - 3,629 kg"
Maize (High Oil Corn),High,Medium,High,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"5,600 - 7,600",101 - 131,25000 - 35000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,15000.0,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,"2,722 - 3,629 kg"
Maize (White Corn),High,Medium,High,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"5,200 - 7,200",95 - 125,20000 - 30000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,15000.0,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,"2,722 - 3,629 kg"
Maize (Blue Corn),High,Medium,High,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"5,400 - 7,400",99 - 129,21000 - 31000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,15000.0,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,"2,722 - 3,629 kg"
Maize (Baby Corn),High,Medium,High,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"5,500 - 7,500",100 - 130,22000 - 32000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,15000.0,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,"1,814 - 2,722 kg"
Maize (Field Corn),High,Medium,High,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"5,600 - 7,600",101 - 131,23000 - 33000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,15000.0,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,"2,722 - 3,629 kg"
Maize (Strawberry Corn),High,Medium,High,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"5,300 - 7,300",98 - 128,24000 - 34000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,15000.0,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,"2,722 - 3,629 kg"
Maize (Red Corn),High,Medium,High,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"5,500 - 7,500",100 - 130,25000 - 35000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,15000.0,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,"2,722 - 3,629 kg"
Maize (Yellow Corn),High,Medium,High,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"5,200 - 7,200",95 - 125,20000 - 30000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,15000.0,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,"2,722 - 3,629 kg"
Maize (Purple Corn),High,Medium,High,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"5,300 - 7,300",98 - 128,21000 - 31000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,50000.0,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,"2,722 - 3,629 kg"
Maize (Glass Gem Corn),High,Medium,High,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"5,400 - 7,400",99 - 129,22000 - 32000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,50000.0,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,"2,722 - 3,629 kg"
Cotton (Suvin),High,Medium,Medium,Medium,Neutral,Non-Saline,Medium,High,Medium,Medium,Low,Medium,"20,000 - 25,000",150 - 180,"50,000 - 60,000",Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,50000.0,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,227 - 453 kg
Cotton (MCU 5),Medium,Medium,High,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Medium,Medium,"18,000 - 22,000",140 - 170,"45,000 - 55,000",Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,50000.0,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,227 - 453 kg
Cotton (LRA 5166),High,High,Medium,High,Neutral,Non-Saline,High,Medium,High,Medium,Medium,High,"22,000 - 28,000",160 - 190,"55,000 - 65,000",Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,50000.0,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,227 - 453 kg
Cotton (DCH 32),Medium,Medium,Medium,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Medium,Medium,"19,000 - 23,000",145 - 175,"48,000 - 58,000",Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,50000.0,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,227 - 453 kg
Cotton (F 846),High,Medium,High,Medium,Neutral,Non-Saline,Medium,High,Medium,Medium,Low,Medium,"21,000 - 26,000",155 - 185,"52,000 - 62,000",Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,50000.0,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,227 - 453 kg
Cotton (RCH 134),Medium,High,Medium,High,Neutral,Non-Saline,High,Medium,High,Medium,Medium,High,"20,000 - 24,000",150 - 180,"50,000 - 60,000",Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,50000.0,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,227 - 453 kg
Cotton (Bunny),High,Medium,Medium,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"17,000 - 21,000",140 - 170,"45,000 - 55,000",Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,50000.0,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,227 - 453 kg
Cotton (NH 615),Medium,Medium,High,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Medium,Medium,"18,000 - 22,000",145 - 175,"47,000 - 57,000",Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,50000.0,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,227 - 453 kg
Cotton (Anjali),High,High,High,High,Neutral,Non-Saline,High,High,High,High,Medium,High,"23,000 - 28,000",160 - 190,"58,000 - 68,000",Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,50000.0,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,227 - 453 kg
Cotton (Krishna),Medium,Medium,Medium,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Medium,Medium,"19,000 - 23,000",150 - 180,"49,000 - 59,000",Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,50000.0,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,227 - 453 kg
Legume (PegionPea),Low,Medium,Medium,Medium,Neutral,Non-Saline,Medium,Low,Low,Low,Low,Low,400-600mm,150-260,"15,000 - 25,000",No,Yes,Yes,Yes,Yes,No,No,No,No,No,35000.0,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,272 - 453 kg
Legume (Greengram),Low,Meduim,Medium,low,Neutral,Non-Saline,Medium,Low,Low,Low,Low,Low,300 - 500 mm,60-90,"10,000 - 18,000",No,Yes,Yes,no,Yes,No,No,No,No,No,30000.0,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,272 - 362 kg
Legume (Blackgram),Low,Meduium,Medium,low,Neutral,Non-Saline,Medium,Low,Low,Low,Low,Low,300 - 500 mm,60-90,"10,000 - 18,000",No,Yes,Yes,no,Yes,No,No,No,No,No,30000.0,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,272 - 362 kg
Legume (Bengal Gram),Low,Medium,Medium,low,Neutral,Non-Saline,Medium,Low,Low,Low,Low,Low,400 - 600 mm,90-150,"2,000 - 22,000",No,Yes,Yes,no,Yes,No,No,No,Yes,No,40000.0,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,362 - 453 kg
Legume (Lentils),Low,Meduim,Medium,low,Neutral,Non-Saline,Medium,Low,Low,Low,Low,Low,300 - 450 mm,100 - 130,"10,000 - 18,000",No,Yes,Yes,no,Yes,No,No,No,No,No,32000.0,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,272 - 453 kg
Legume (Soybeans),Low,High,High,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Low,Medium,Medium,450 - 700 mm,100 - 130,"18,000 - 30,000",No,Yes,Yes,yes,Yes,Yes,No,No,No,No,35000.0,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,544 - 680 kg
Legume (Cowpea),Low,Medium,Medium,low,Neutral,Non-Saline,Medium,Low,Low,Low,Low,Low,300 - 600 mm,60 - 120,"8,000 - 15,000",No,Yes,Yes,no,Yes,No,No,No,No,No,28000.0,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,453 - 680 kg
Legume (Horse Gram),Low,Low,Low,low,Neutral,Non-Saline,Low,Low,Low,Low,Low,Low,250 - 500 mm,100 - 150,"6,000 - 12,000",No,No,No,no,No,No,Yes,No,No,No,25000.0,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,272 - 453 kg
